,smiles,stoichiometry,single_point_homo_gas_phase,single_point_lumo_gas_phase
336,O=C1C(N)=CC(=O)C(=C1)N,C6N2H6O2,-0.19767,-0.12937
338,O=C1C(N)=C(F)C(=O)C(=C1F)N,C6N2H4O2F2,-0.201,-0.14736
339,O=C1C(N)=C(N)C(=O)C(N)=C1N,C6N4H8O2,-0.14062,-0.11909
340,O=C1C(N)=C(S(=O)(=O)O)C(=O)C(N)=C1S(=O)(=O)O,C6N2H6S2O8,-0.25282,-0.18612
341,O=C1C(N)=CC(=O)C(N)=C1C(=O)O,C7N2H6O4,-0.2231,-0.15444
342,O=C1C(N)=C(F)C(=O)C(=C1)N,C6N2H5O2F,-0.19934,-0.1385
343,O=C1C(N)=C(C(=O)O)C(=O)C(N)=C1C(=O)O,C8N2H6O6,-0.24654,-0.1769
344,O=C1C(N)=C(O)C(=O)C(N)=C1O,C6N2H6O4,-0.17014,-0.13971
345,O=C1C(N)=CC(=O)C(N)=C1N,C6N3H7O2,-0.16235,-0.12559
346,O=C1C(N)=C(O)C(=O)C(=C1)N,C6N2H6O3,-0.18169,-0.13475
5131,O=C1C=CC(=O)c(c12)nsn2,C6N2H2SO2,-0.2473,-0.17459
5132,O=C1C(N)=C(N)C(=O)c(c12)nsn2,C6N4H4SO2,-0.1945,-0.14571
5133,O=C1C(O)=C(O)C(=O)c(c12)nsn2,C6N2H2SO4,-0.23571,-0.1677
5134,O=C1C(S(=O)(=O)O)=C(S(=O)(=O)O)C(=O)c(c12)nsn2,C6N2H2S3O8,-0.2764,-0.21508
5135,O=C1C(C(=O)O)=C(C(=O)O)C(=O)c(c12)nsn2,C8N2H2SO6,-0.26969,-0.20576
5136,O=C1C(F)=CC(=O)c(c12)nsn2,C6N2HSO2F,-0.25243,-0.17943
5137,O=C1C(N)=CC(=O)c(c12)nsn2,C6N3H3SO2,-0.22427,-0.15852
5138,O=C1C(F)=C(F)C(=O)c(c12)nsn2,C6N2SO2F2,-0.26367,-0.18444
5139,O=C1C(S(=O)(=O)O)=CC(=O)c(c12)nsn2,C6N2H2S2O5,-0.26819,-0.20225
5140,O=C1C(O)=CC(=O)c(c12)nsn2,C6N2H2SO3,-0.2402,-0.17414
5141,O=C1C(C(=O)O)=CC(=O)c(c12)nsn2,C7N2H2SO4,-0.25798,-0.20126
